age,sex,body_type,height,job,lives_in_san_francisco,religious,sign,age_grouped
22,m,a little extra,75.0,transportation,False,True,gemini,20.0
35,m,average,70.0,hospitality / travel,False,True,cancer,35.0
38,m,thin,68.0,not specified,True,False,pisces,35.0
23,m,thin,71.0,student,False,False,pisces,20.0
29,m,athletic,66.0,artistic / musical / writer,True,False,aquarius,25.0
29,m,average,67.0,computer / hardware / software,True,True,taurus,25.0
32,f,fit,65.0,not specified,True,False,virgo,30.0
31,f,average,65.0,artistic / musical / writer,True,True,sagittarius,30.0
24,f,rather not say,67.0,not specified,False,True,gemini,20.0
37,m,athletic,65.0,student,False,True,cancer,35.0
35,m,average,70.0,not specified,True,False,taurus,35.0
28,m,average,72.0,banking / financial / real estate,False,True,leo,25.0
24,m,rather not say,72.0,entertainment / media,True,False,taurus,20.0
30,f,skinny,66.0,sales / marketing / biz dev,True,True,unknown,30.0
29,f,thin,62.0,other,False,True,taurus,25.0
39,f,fit,65.0,medicine / health,True,True,aquarius,35.0
33,m,fit,70.0,entertainment / media,False,False,pisces,30.0
26,f,average,64.0,banking / financial / real estate,True,False,aries,25.0
31,m,average,71.0,medicine / health,True,True,libra,30.0
33,m,athletic,72.0,science / tech / engineering,True,True,pisces,30.0
27,f,average,67.0,sales / marketing / biz dev,True,True,libra,25.0
22,f,athletic,67.0,student,True,True,taurus,20.0
30,m,fit,69.0,executive / management,True,True,sagittarius,30.0
30,m,thin,71.0,education / academia,True,True,aquarius,30.0
33,m,thin,73.0,artistic / musical / writer,False,False,scorpio,30.0
28,m,fit,70.0,medicine / health,False,False,gemini,25.0
22,m,fit,72.0,clerical / administrative,True,True,leo,20.0
22,m,average,67.0,other,False,True,leo,20.0
30,m,fit,74.0,not specified,True,True,unknown,30.0
32,m,fit,68.0,other,True,True,leo,30.0
27,f,average,64.0,other,True,True,gemini,25.0
27,m,athletic,72.0,science / tech / engineering,True,True,unknown,25.0
38,f,average,67.0,computer / hardware / software,False,True,libra,35.0
20,f,average,60.0,hospitality / travel,False,False,cancer,20.0
27,m,thin,69.0,entertainment / media,True,True,sagittarius,25.0
26,m,athletic,69.0,banking / financial / real estate,True,False,unknown,25.0
32,m,athletic,69.0,science / tech / engineering,True,True,cancer,30.0
25,m,fit,69.0,other,False,False,libra,25.0
27,f,curvy,63.0,entertainment / media,False,False,libra,25.0
35,m,fit,74.0,computer / hardware / software,False,False,unknown,35.0
30,m,average,76.0,computer / hardware / software,False,True,unknown,30.0
35,m,athletic,72.0,not specified,False,True,pisces,35.0
30,m,average,75.0,artistic / musical / writer,False,False,gemini,30.0
40,m,fit,71.0,construction / craftsmanship,True,True,gemini,40.0
29,f,curvy,66.0,other,True,False,aquarius,25.0
27,m,average,69.0,education / academia,False,True,aquarius,25.0
27,m,athletic,73.0,not specified,True,False,unknown,25.0
28,m,average,70.0,artistic / musical / writer,True,True,libra,25.0
31,f,thin,67.0,artistic / musical / writer,True,False,unknown,30.0
26,f,athletic,66.0,science / tech / engineering,False,False,taurus,25.0
33,f,fit,66.0,artistic / musical / writer,False,False,taurus,30.0
38,f,athletic,65.0,not specified,False,False,taurus,35.0
31,m,average,69.0,science / tech / engineering,True,True,gemini,30.0
36,m,athletic,69.0,computer / hardware / software,False,False,unknown,35.0
33,m,fit,69.0,computer / hardware / software,False,True,unknown,30.0
33,m,athletic,70.0,medicine / health,True,False,pisces,30.0
26,m,fit,71.0,student,False,True,sagittarius,25.0
21,m,thin,72.0,computer / hardware / software,True,True,unknown,20.0
22,m,fit,70.0,student,True,True,pisces,20.0
31,m,average,71.0,not specified,True,True,libra,30.0
31,m,fit,67.0,computer / hardware / software,True,True,gemini,30.0
35,m,thin,75.0,other,True,False,cancer,35.0
31,m,thin,70.0,rather not say,True,True,cancer,30.0
28,f,curvy,67.0,education / academia,True,False,gemini,25.0
28,m,athletic,72.0,political / government,True,False,virgo,25.0
29,m,fit,68.0,science / tech / engineering,True,True,unknown,25.0
22,m,athletic,65.0,education / academia,False,True,virgo,20.0
30,f,thin,66.0,student,True,False,aries,30.0
31,f,average,69.0,medicine / health,False,False,virgo,30.0
29,m,thin,76.0,other,False,True,scorpio,25.0
25,f,rather not say,62.0,science / tech / engineering,False,False,pisces,25.0
33,f,athletic,67.0,entertainment / media,True,False,gemini,30.0
35,m,athletic,73.0,artistic / musical / writer,False,True,pisces,35.0
31,f,curvy,61.0,law / legal services,False,True,libra,30.0
28,m,fit,72.0,education / academia,False,False,sagittarius,25.0
29,f,curvy,67.0,rather not say,False,False,gemini,25.0
26,m,fit,72.0,not specified,False,True,capricorn,25.0
25,f,curvy,65.0,other,True,True,leo,25.0
34,f,curvy,67.0,sales / marketing / biz dev,True,True,unknown,30.0
21,m,fit,71.0,entertainment / media,True,True,unknown,20.0
28,f,thin,67.0,executive / management,True,True,cancer,25.0
31,m,average,69.0,not specified,True,True,unknown,30.0
